Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,5323.879883,5489.470215,5238.209961,5462.689941,2020543500,5462.689941
2016-11-01,5199.77002,5403.859863,5034.410156,5323.680176,2092150000,5323.680176
2016-10-03,5300.290039,5340.52002,5169.759766,5189.140137,1731052800,5189.140137
2016-09-01,5218.279785,5342.879883,5097.799805,5312.00,2004019000,5312.00
2016-08-01,5167.419922,5275.740234,5109.799805,5213.220215,1761589100,5213.220215
2016-07-01,4837.180176,5175.810059,4786.009766,5162.129883,1906134000,5162.129883
2016-06-01,4928.970215,4980.140137,4574.25,4842.669922,2108412700,4842.669922
2016-05-02,4786.549805,4951.450195,4678.379883,4948.049805,1956599500,4948.049805
2016-04-01,4842.549805,4969.319824,4740.839844,4775.359863,1923369500,4775.359863
2016-03-01,4596.009766,4899.140137,4581.75,4869.850098,1932415900,4869.850098
2016-02-01,4587.589844,4636.930176,4209.759766,4557.950195,2258695500,4557.950195
2016-01-04,4897.649902,4926.72998,4313.390137,4613.950195,2499720000,4613.950195
2015-12-01,5129.640137,5176.77002,4871.589844,5007.410156,1911610000,5007.410156
2015-11-02,5065.640137,5163.470215,4908.660156,5108.669922,1951903500,5108.669922
2015-10-01,4624.459961,5095.689941,4552.339844,5053.75,2016574000,5053.75
2015-09-01,4673.609863,4960.870117,4487.060059,4620.160156,2090584200,4620.160156
2015-08-03,5134.339844,5175.259766,4292.140137,4776.509766,2154633800,4776.509766
2015-07-01,5029.049805,5231.939941,4901.509766,5128.279785,1934535400,5128.279785
2015-06-01,5094.939941,5164.359863,4956.22998,4986.870117,1971511300,4986.870117
2015-05-01,4966.319824,5111.540039,4888.169922,5070.029785,1900935500,5070.029785
2015-04-01,4894.359863,5119.830078,4844.390137,4941.419922,1889478500,4941.419922
2015-03-02,4973.430176,5042.140137,4825.930176,4900.879883,1956450000,4900.879883
2015-02-02,4650.600098,4989.25,4580.459961,4963.529785,1985720000,4963.529785
2015-01-02,4760.240234,4777.009766,4563.109863,4635.240234,2049163000,4635.240234
2014-12-01,4777.72998,4814.950195,4547.310059,4736.049805,1868304000,4736.049805
2014-11-03,4633.709961,4810.859863,4594.919922,4791.629883,1787715200,4791.629883
2014-10-01,4486.649902,4641.509766,4116.600098,4630.740234,2285241300,4630.740234
2014-09-02,4592.419922,4610.569824,4464.439941,4493.390137,1991976600,4493.390137
2014-08-01,4363.390137,4580.27002,4321.890137,4580.27002,1655720400,4580.27002
2014-07-01,4424.709961,4485.930176,4351.040039,4369.77002,1900445000,4369.77002
2014-06-02,4247.959961,4417.459961,4207.609863,4408.180176,2004641900,4408.180176
2014-05-01,4121.25,4252.080078,4021.050049,4242.620117,1961609000,4242.620117
2014-04-01,4219.870117,4286.089844,3946.030029,4114.560059,2216315200,4114.560059
2014-03-03,4261.419922,4371.709961,4131.810059,4198.990234,2327953800,4198.990234
2014-02-03,4105.060059,4342.589844,3968.189941,4308.120117,2241890000,4308.120117
2014-01-02,4160.029785,4246.549805,4044.76001,4103.879883,2263246600,4103.879883
2013-12-02,4065.659912,4177.72998,3979.590088,4176.589844,1835258000,4176.589844
2013-11-01,3932.449951,4069.699951,3855.070068,4059.889893,1833598500,4059.889893
2013-10-01,3774.179932,3966.709961,3650.030029,3919.709961,1963340800,3919.709961
2013-09-03,3622.639893,3798.76001,3593.620117,3771.47998,1844675000,3771.47998
2013-08-01,3654.179932,3694.189941,3573.570068,3589.870117,1557407700,3589.870117
2013-07-01,3430.47998,3649.350098,3415.22998,3626.370117,1719631800,3626.370117
2013-06-03,3460.76001,3488.310059,3294.949951,3403.25,2057933000,3403.25
2013-05-01,3325.350098,3532.040039,3296.50,3455.909912,1868743100,3455.909912
2013-04-01,3268.629883,3328.790039,3154.959961,3328.790039,1767663600,3328.790039
2013-03-01,3143.540039,3270.300049,3129.399902,3267.52002,1769299000,3267.52002
2013-02-01,3162.939941,3213.600098,3105.360107,3160.189941,1988840000,3160.189941
2013-01-02,3091.330078,3164.060059,3076.600098,3142.129883,1962783800,3142.129883
2012-12-03,3029.209961,3061.820068,2951.040039,3019.51001,1753986000,3019.51001
2012-11-01,2987.540039,3033.850098,2810.800049,3010.23999,1861356100,3010.23999
2012-10-01,3130.310059,3171.459961,2961.159912,2977.22998,1817800000,2977.22998
2012-09-04,3063.25,3196.929932,3040.23999,3116.22998,1872861500,3116.22998
2012-08-01,2956.719971,3100.540039,2890.850098,3066.959961,1613204700,3066.959961
2012-07-02,2938.409912,2987.939941,2837.719971,2939.52002,1737529500,2939.52002
2012-06-01,2810.129883,2942.280029,2726.679932,2935.050049,1879992300,2935.050049
2012-05-01,3044.790039,3085.399902,2774.449951,2827.340088,1922548100,2827.340088
2012-04-02,3085.939941,3128.25,2946.040039,3046.360107,1771358000,3046.360107
2012-03-01,2979.110107,3134.169922,2900.280029,3091.570068,1750883600,3091.570068
2012-02-01,2830.100098,3000.110107,2825.189941,2966.889893,1994932500,2966.889893
2012-01-03,2657.389893,2834.300049,2627.22998,2813.840088,1855622500,2813.840088
2011-12-27,2613.51001,2633.340088,2586.850098,2605.149902,1285120000,2605.149902
